Date,Description,Amount
2024-01-01,Salary credit,55000
2024-01-03,Swiggy order,-450
2024-01-05,Amazon purchase,-2300
2024-01-07,Netflix subscription,-649
2024-01-10,Electricity bill,-1200
2024-01-12,Uber ride,-180
2024-01-14,Zomato order,-380
2024-01-16,Jio recharge,-299
2024-01-18,Flipkart purchase,-1800
2024-01-20,Hospital pharmacy,-600
2024-02-01,Salary credit,55000
2024-02-03,Rapido ride,-120
2024-02-06,Hotstar subscription,-499
2024-02-09,Zomato order,-650
2024-02-11,Amazon purchase,-3200
2024-02-15,Airtel bill,-449
2024-02-18,Swiggy order,-520
2024-02-22,Myntra purchase,-2100
2024-03-01,Salary credit,55000
2024-03-04,Hospital bill,-2500
2024-03-07,Swiggy order,-380
2024-03-10,Electricity bill,-1350
2024-03-14,Netflix subscription,-649
2024-03-17,Amazon purchase,-1800
2024-03-20,Uber ride,-240
2024-03-24,Zomato order,-520
